code,city,airport,country,provider,base,lat,lon
KOJ,Kagoshima,Kagoshima Airport,Japan,Avicom,131.45,31.7833,130.7167
KRK,Krakow,Jana Pawla II Krakow-Balice Airport,Poland,SITA,131.725,50.0667,19.8000
KRR,Krasnodar,Krasnodar-Pashovskiy Airport,Russia,SITA,131.725,45.0333,39.1667
KRS,Kristiansand,Kjevik Airport,Norway,SITA,131.725,58.2167,8.0667
KRT,Khartoum,Khartoum Airport,Sudan,SITA,131.725,15.5833,32.5500
KSC,Kosice,Košice International Airport,Slovakia,SITA,131.725,48.6667,21.2333
KSU,Kristiansund,Kvernberget Airport,Norway,SITA,131.725,63.1000,7.8167
KTA,Karratha,Karratha Airport,Australia,SITA,131.55,-20.7000,116.7667
KTM,Kathmandu,Tribhuvan Int’l Airport,Nepal,SITA,131.725,27.7000,85.3500
KTN,Ketchikan/AK,Ketchikan Int’l Airport,USA,SITA,136.85,55.3500,-131.7000
KTW,Katowice,Pyrzowice Airport,Poland,SITA,131.725,50.4667,19.0667
KUA,Kuantan,Sultan Ahmad Shah Airport,Malaysia,SITA,131.55,3.7667,103.2000
KUF,Samara,Samara - Kumuroch Airport,Russia,SITA,131.725,53.5000,50.1500
KUH,Kushiro,Kushiro Airport,Japan,Avicom,131.45,43.0333,144.2000
KUL,Kuala Lumpur,Kuala Lumpur International Airport,Malaysia,SITA,131.55,2.7500,101.7000
KUL,Kuala Lumpur,Kuala Lumpur International Airport,Malaysia,SITA,131.55,2.7500,101.7000
KUN,Kaunas,Kaunas intl’ Airport,Lithuania,SITA,131.725,54.9667,24.0833
KUO,Kuopio,Kuopio Airport,Finland,SITA,131.725,63.0000,27.7833
KWI,Kuwait,Kuwait Int’l Airport,Kuwait,SITA,131.725,29.2333,47.9667
KWJ,Kwangju,Gwangju (Kwangju) Airport,Rep. Of Korea,SITA,131.55,35.1333,126.7833
KZN,Kazan,Kazan International Airport,Russia,SITA,131.725,55.6000,49.3000
KZO,Kyzylorda,Kyzylorda Airport,Kazakhstan,SITA,131.725,44.7000,65.5833
LAD,Luanda,Luanda 4 De Fevereiro,Angola,SITA,131.725,-8.8500,13.2167
LAN,Lansing/MI,Capitol Region Airport,USA,SITA,136.85,42.7667,-84.5833
LAP,La Paz,General Manuel Marques de Leon Int’l Airport,Mexico,SITA,131.725,24.0667,-110.3667
LAS,Las Vegas/NV,Mc Carran Int’l Airport,USA,SITA,136.85,36.0833,-115.1333
LAW,Lawton/OK,Lawton Fort Sill Rgnl Airport,USA,SITA,136.85,34.5667,-98.4167
LAX,Los Angeles/CA,Los Angeles Int’l Airport,USA,SITA,136.85,33.9333,-118.4000
LAZ,Bom Jesus da lapa,Aeroporto de Bom Jesus da lapa,Brazil,SITA,131.55,-13.2500,-43.4000
LBA,Leeds Bradford,Leeds Bradford Int’l Airport,United Kingdom,SITA,131.725,53.8667,-1.6500
LBB,Lubbock/TX,Lubbock Preston Smith Int’l Airport,USA,SITA,136.85,33.6500,-101.8333
LBF,North Platte/NE,Lee Bird Field Airport,USA,SITA,136.85,41.1333,-100.7000
LBU,Labuan,Labuan Airport,Malaysia,SITA,131.55,5.2833,115.2500
LCA,Larnaca,Larnaca Airport,Cyprus,SITA,131.725,34.8667,33.6000
LCG,La Coruna,La Coruna Airport,Spain,ENAIRE,131.725,43.3000,-8.3667
LCK,Columbus/OH,Rickenbacker Int’l Airport,USA,SITA,136.85,39.8167,-82.9333
LCY,London,London City Airport,United Kingdom,SITA,131.725,51.5000,0.0333
LDE,Lourdes,Aéroport Tarbes Ossun Lourdes,France,SITA,131.725,43.1833,-0.0000
LED,St Petersburg,Pulkovo Airport,Russia,SITA,131.725,59.8000,30.3000
